title,genre,keywords
The Dark Knight,Action Crime Drama,batman superhero joker crime
Batman Begins,Action Crime Drama,batman superhero origin crime
The Dark Knight Rises,Action Crime Drama,batman superhero bane crime
Iron Man,Action Adventure Sci-Fi,superhero ironman marvel technology
Avengers Endgame,Action Adventure Sci-Fi,superhero marvel avengers time travel
Spider-Man Homecoming,Action Adventure Sci-Fi,spiderman superhero marvel school
Inception,Action Sci-Fi Thriller,dream mind heist technology
Interstellar,Adventure Drama Sci-Fi,space science time travel future
The Matrix,Action Sci-Fi,digital reality technology hacker future
Jurassic Park,Adventure Sci-Fi,dinosaurs science park adventure
Titanic,Drama Romance,romance ship historical love
The Notebook,Drama Romance,romance love relationship emotional
Avengers Infinity War,Action Adventure Sci-Fi,superhero marvel avengers thanos
Captain America Civil War,Action Adventure Sci-Fi,superhero marvel captain america
Doctor Strange,Action Adventure Fantasy,superhero marvel magic doctor
